unlock_station_name;geolocation_unlock
112 - Paseo de Moret;{'type': 'Point', 'coordinates': [-3.7246532, 40.4325991]}
249 - Manuel Caldeiro;{'type': 'Point', 'coordinates': [-3.68532, 40.47938]}
150 - Castellana frente a Hermanos Pinzón;{'type': 'Point', 'coordinates': [-3.6905604, 40.4488924]}
259 - Ciudad Universitaria 2;{'type': 'Point', 'coordinates': [-3.72693, 40.44342]}
248 - Torre Cepsa;{'type': 'Point', 'coordinates': [-3.68797, 40.47435]}
100 - Palacio de Deportes;{'type': 'Point', 'coordinates': [-3.67384, 40.42478]}
148 - Serrano 210;{'type': 'Point', 'coordinates': [-3.6817962, 40.4510188]}
217 - Pedro Rico;{'type': 'Point', 'coordinates': [-3.688463, 40.481086]}
221 - Pavones;{'type': 'Point', 'coordinates': [-3.634587, 40.400368]}
142 - Castellana 42;{'type': 'Point', 'coordinates': [-3.6879154, 40.4334087]}
25a - Plaza de Celenque A;{'type': 'Point', 'coordinates': [-3.7057791, 40.4173703]}
250 - Serrano 113;{'type': 'Point', 'coordinates': [-3.68609, 40.44106]}
91 - Príncipe de Vergara;{'type': 'Point', 'coordinates': [-3.6787441, 40.426134]}
